Molecule Name,SMILES_x,SMILES_clean,ORIGIN,structure_ID
PCM-0178271,COC1=CC(CNC(=O)NC2=CN(CC(C)C)C(=O)C3=CC=CC=C23)=C(OC)C=C1,COc1ccc(OC)c(CNC(=O)Nc2cn(CC(C)C)c(=O)c3ccccc23)c1,,
PCM-0178269,CC(C)CN1C=C(NC(=O)NCCCN2CCC(C)CC2)C2=CC=CC=C2C1=O,CC(C)Cn1cc(NC(=O)NCCCN2CCC(C)CC2)c2ccccc2c1=O,,
PCM-0178267,CC(C)CN1C=C(NC(=O)NCC2CCCO2)C2=CC=CC=C2C1=O,CC(C)Cn1cc(NC(=O)NCC2CCCO2)c2ccccc2c1=O,,
PCM-0178265,CC(C)CN1C=C(NC(=O)NC2=NC3=C(S2)C=CC=C3)C2=CC=CC=C2C1=O,CC(C)Cn1cc(NC(=O)Nc2nc3ccccc3s2)c2ccccc2c1=O,,
PCM-0178231,CC(C)CN1C=C(NC(=O)NC2CCCC3=CC=CC=C23)C2=CC=CC=C2C1=O,CC(C)Cn1cc(NC(=O)NC2CCCc3ccccc32)c2ccccc2c1=O,,
PCM-0178229,COC1=CC(Cl)=C(C)C=C1NC(=O)NC1=CN(CC(C)C)C(=O)C2=CC=CC=C12,COc1cc(Cl)c(C)cc1NC(=O)Nc1cn(CC(C)C)c(=O)c2ccccc12,,
PCM-0178227,CC(C)CN1C=C(NC(=O)N2CCC(CC3=CC=CC=C3)CC2)C2=CC=CC=C2C1=O,CC(C)Cn1cc(NC(=O)N2CCC(Cc3ccccc3)CC2)c2ccccc2c1=O,,
PCM-0178225,COC1=CC2=C(C=C1)N=C(NC(=O)NC1=CN(CC(C)C)C(=O)C3=CC=CC=C13)S2,COc1ccc2nc(NC(=O)Nc3cn(CC(C)C)c(=O)c4ccccc34)sc2c1,,
PCM-0178194,CC(C)CN1C=C(NC(=O)NCCC2=C(C)ON=C2C)C2=CC=CC=C2C1=O,Cc1noc(C)c1CCNC(=O)Nc1cn(CC(C)C)c(=O)c2ccccc12,,
PCM-0178156,CCCCN(CCCNC(=O)NC1=CN(CC(C)C)C(=O)C2=CC=CC=C12)C1=CC=CC=C1,CCCCN(CCCNC(=O)Nc1cn(CC(C)C)c(=O)c2ccccc12)c1ccccc1,,
PCM-0178153,CC(C)CN1C=C(NC(=O)N2CCC(C2)C2=CC=CC=C2)C2=CC=CC=C2C1=O,CC(C)Cn1cc(NC(=O)N2CCC(c3ccccc3)C2)c2ccccc2c1=O,,
PCM-0178151,CC(C)CN1C=C(NC(=O)NCCCN2CCCC2=O)C2=CC=CC=C2C1=O,CC(C)Cn1cc(NC(=O)NCCCN2CCCC2=O)c2ccccc2c1=O,,
PCM-0177159,CN1C=C(NC(=O)NC2=CC=CC(=C2)C(C)=O)C2=CC=CC=C2C1=O,CC(=O)c1cccc(NC(=O)Nc2cn(C)c(=O)c3ccccc23)c1,,
PCM-0177157,CN1C=C(NC(=O)NCCC2=CC=C(Cl)C=C2)C2=CC=CC=C2C1=O,Cn1cc(NC(=O)NCCc2ccc(Cl)cc2)c2ccccc2c1=O,,
PCM-0177155,COC1=CC=C(NC(=O)NC2=CN(C)C(=O)C3=CC=CC=C23)C(OC)=C1,COc1ccc(NC(=O)Nc2cn(C)c(=O)c3ccccc23)c(OC)c1,,
PCM-0177121,CC(CCC1=CC=CO1)NC(=O)NC1=CN(C)C(=O)C2=CC=CC=C12,CC(CCc1ccco1)NC(=O)Nc1cn(C)c(=O)c2ccccc12,,
PCM-0177115,CN1C=C(NC(=O)NC2=CC=CC(=C2)C(F)(F)F)C2=CC=CC=C2C1=O,Cn1cc(NC(=O)Nc2cccc(C(F)(F)F)c2)c2ccccc2c1=O,,
PCM-0177081,CN1C=C(NC(=O)NCCC2=CSC=C2)C2=CC=CC=C2C1=O,Cn1cc(NC(=O)NCCc2ccsc2)c2ccccc2c1=O,,
PCM-0177079,COC1=CC(CNC(=O)NC2=CN(C)C(=O)C3=CC=CC=C23)=C(OC)C=C1,COc1ccc(OC)c(CNC(=O)Nc2cn(C)c(=O)c3ccccc23)c1,,
PCM-0177041,CC(C)OCCCN(CC1=CC=CO1)C(=O)NC1=CN(C)C(=O)C2=CC=CC=C12,CC(C)OCCCN(Cc1ccco1)C(=O)Nc1cn(C)c(=O)c2ccccc12,MOONSHOT,x12350
PCM-0177039,CN1C=C(NC(=O)NCCCN2CCC3=C(C2)C=CC=C3)C2=CC=CC=C2C1=O,Cn1cc(NC(=O)NCCCN2CCc3ccccc3C2)c2ccccc2c1=O,,
PCM-0177001,CN1C=C(NC(=O)N(CC2CCCO2)CC2=CC=CO2)C2=CC=CC=C2C1=O,Cn1cc(NC(=O)N(Cc2ccco2)CC2CCCO2)c2ccccc2c1=O,,
PCM-0176999,CCOC(=O)N1CCC(CC1)NC(=O)NC1=CN(C)C(=O)C2=CC=CC=C12,CCOC(=O)N1CCC(NC(=O)Nc2cn(C)c(=O)c3ccccc23)CC1,,
PCM-0176997,COC1=CC(Cl)=C(C)C=C1NC(=O)NC1=CN(C)C(=O)C2=CC=CC=C12,COc1cc(Cl)c(C)cc1NC(=O)Nc1cn(C)c(=O)c2ccccc12,,
PCM-0176957,CN1C=C(NC(=O)NCC2=CC=CC=N2)C2=CC=CC=C2C1=O,Cn1cc(NC(=O)NCc2ccccn2)c2ccccc2c1=O,,
PCM-0176921,CCN(CC)S(=O)(=O)C1=CC=C(NC(=O)NC2=CN(C)C(=O)C3=CC=CC=C23)C=C1,CCN(CC)S(=O)(=O)c1ccc(NC(=O)Nc2cn(C)c(=O)c3ccccc23)cc1,,
PCM-0176881,COC1=CC2=C(C=C1OC)C(C)N(CC2)C(=O)NC1=CN(C)C(=O)C2=CC=CC=C12,COc1cc2c(cc1OC)C(C)N(C(=O)Nc1cn(C)c(=O)c3ccccc13)CC2,,
PCM-0176879,CN1C=C(NC(=O)N2CCN(CC2)C(=O)C2=CC=CO2)C2=CC=CC=C2C1=O,Cn1cc(NC(=O)N2CCN(C(=O)c3ccco3)CC2)c2ccccc2c1=O,,
PCM-0176877,COC1=CC=C(NC(=O)NC2=CN(C)C(=O)C3=CC=CC=C23)C=C1OC,COc1ccc(NC(=O)Nc2cn(C)c(=O)c3ccccc23)cc1OC,,
